y,x1,x2,g1,g2
-3.36,0.01,-1.49,A,b
1.4,0.03,-0.17,B,b
2.71,0.06,0.97,C,b
-1.65,-1.36,-1.29,D,b
5.08,-0.61,0.85,E,b
4.37,-0.38,0.71,A,c
3.98,0.32,0.41,B,c
4.58,-0.49,-0.51,C,c
10.16,-0.48,1.97,D,c
-0.24,0.7,-2,E,c
-5.92,-0.77,-1.71,A,d
-2.44,2.02,0.39,B,d
1.62,0.09,0.52,C,d
2.33,-0.04,0.16,D,d
11.1,-1.18,1.57,E,d
-4.5,-0.12,-1.18,A,e
0.12,1.26,-0.66,B,e
-3.74,-0.75,-1.29,C,e
6.95,-1.09,-0.18,D,e
5.79,-0.29,1.26,E,e
-2.6,1.38,0.27,A,f
-1.71,0.24,0.42,B,f
-3.98,-0.05,-0.97,C,f
0.76,-0.37,0.17,D,f
-0.79,-0.18,-0.19,E,f
0.51,0.46,-1.28,A,g
4.73,-0.67,-0.02,B,g
3,0.67,-0.39,C,g
-0.98,1.98,-1.85,D,g
3.34,1.2,0.32,E,g
-4.95,-0.29,-0.9,A,h
-2.34,-1.16,-0.66,B,h
-6.15,2.08,-1.05,C,h
-3.55,0.06,-0.82,D,h
6.5,-1.8,0.86,E,h
-1.43,-0.17,-0.84,A,i
1.39,0.02,0.22,B,i
0.59,-0.29,-0.67,C,i
-1.44,0.73,-0.31,D,i
1.02,0.49,0.06,E,i
-2,0.6,-0.38,A,j
-4.83,-1.05,-2.09,B,j
1.07,0.37,0.26,C,j
0.8,1.05,-0.19,D,j
2.86,-0.77,-0.54,E,j
-4.32,1.41,0.96,A,a
0.11,-0.05,0.64,B,a
-2.68,0.22,-0.48,C,a
2.91,-0.44,0.86,D,a
-1.52,0.35,0.06,E,a
4.62,-1.05,0.66,A,b
-3.78,0.95,-0.93,B,b
-1,1.73,0.13,C,b
2.71,-0.63,0.14,D,b
-5.45,-0.5,-2.43,E,b
6.58,-2.22,0.11,A,c
7.86,-1.55,0.19,B,c
3.81,-1.29,-0.52,C,c
-0.31,0.92,-0.7,D,c
-1.57,-1.11,-1.76,E,c
-5.74,1.12,-0.74,A,d
3.19,-0.87,0.49,B,d
-9.82,-0.53,-3.25,C,d
-0.81,1.07,-0.14,D,d
2.85,-0.43,0.64,E,d
2.33,-0.34,0.23,A,e
5.3,-0.3,1.57,B,e
-0.79,1.15,0.13,C,e
1.43,0.15,0.38,D,e
8.68,-1.19,1.06,E,e
6.08,-1.62,0.88,A,f
-5.97,1.46,-0.63,B,f
-2.3,-0.2,-0.53,C,f
-5.71,2,-1.09,D,f
-0.63,0.12,0.45,E,f
2.59,-0.35,-0.51,A,g
13.01,-1.93,0.73,B,g
6.28,-1.2,-0.22,C,g
12.9,-1.01,1.02,D,g
3.63,-0.58,-0.71,E,g
5.51,-0.52,1.88,A,h
-3.27,0.61,0.09,B,h
1.09,-0.17,0.99,C,h
-5.05,0.26,-1.07,D,h
-2.89,-1.07,-1.21,E,h
1.49,-0.38,0.5,A,i
-4.04,1.3,-0.33,B,i
4.71,-0.49,0.92,C,i
4.14,-1.2,-0.53,D,i
-1.29,1.41,-0.35,E,i
4.18,-0.93,-0.21,A,j
-1.48,0.91,-0.1,B,j
9.37,0.16,2.13,C,j
3.33,-0.06,0.46,D,j
9.87,-2.53,0.41,E,j
-3.34,-0.03,-0.03,A,a
-2.05,0.64,0.58,B,a
-5.56,0.33,-1.77,C,a
0.5,0.23,0.39,D,a
0.82,-1.28,-0.12,E,a
-7.11,0.92,-1.34,A,b
-0.15,-1.2,-0.53,B,b
3.37,0.82,2.18,C,b
3.94,-0.01,0.32,D,b
0.38,1.38,-0.1,E,b
-1.25,1.3,-0.55,A,c
-0.81,1.46,-0.37,B,c
5.17,0.88,1.07,C,c
12.43,-0.27,1.7,D,c
6.45,-0.65,0.28,E,c
-4.13,1.18,-0.35,A,d
-4.41,0.85,-0.78,B,d
1.45,-0.46,-0.1,C,d
0.11,0.71,0.08,D,d
0.57,0.84,0.52,E,d
5.29,-2.63,-0.17,A,e
0.18,1.08,0.37,B,e
1.81,0.83,0.58,C,e
-3.13,2.66,0.97,D,e
-2.99,-1.93,-1.84,E,e
4.7,-0.21,1.9,A,f
-2.24,-1.02,-0.9,B,f
-1.03,-0.95,-0.06,C,f
-0.25,-0.97,-0.31,D,f
3.76,-2.45,-0.15,E,f
9.68,-1.17,0.66,A,g
8.23,-0.24,0.43,B,g
0.93,1.23,-0.95,C,g
7.6,-0.42,0.54,D,g
4.25,1.25,0.39,E,g
-4.1,0.01,-0.42,A,h
-0.31,0.37,0.7,B,h
-2.68,-0.02,-0.65,C,h
-9.42,-0.12,-2.31,D,h
-5.26,1.58,-1.02,E,h
-2.98,-0.26,-0.43,A,i
-0.27,0.49,-0.28,B,i
1.49,-0.89,-0.39,C,i
2.46,0.05,0.54,D,i
0.03,0.8,-0.34,E,i
2.08,-0.12,0.24,A,j
4.25,-0.81,-0.21,B,j
0.05,0.73,-0.11,C,j
9.77,-0.72,1.36,D,j
-0.28,-1.85,-1.33,E,j
7.9,-1.31,2.02,A,a
-5.13,1.54,-0.01,B,a
5.25,-1.31,1.24,C,a
-0.51,0.51,0.72,D,a
-2.19,1.46,0.9,E,a
-1.35,0.62,-0.09,A,b
3.49,-1.36,0.27,B,b
6.99,-2.2,0.52,C,b
-2.7,-0.98,-1.21,D,b
1.16,-1.54,-0.62,E,b
9.5,0.06,2.07,A,c
1.52,0.11,-0.37,B,c
4.19,0.93,0.49,C,c
7.41,0.23,1.43,D,c
0.61,0.02,-1.52,E,c
-2.31,0.49,-0.92,A,d
5.62,-0.75,0.96,B,d
5.54,-1.5,0.64,C,d
-0.76,1.84,1.24,D,d
0.69,0.89,-0.24,E,d
0.85,-0.25,0.17,A,e
1.63,-0.63,-0.46,B,e
1.63,-0.23,-0.12,C,e
2.69,-0.43,0.03,D,e
17.49,-1.69,2.43,E,e
-1.49,0.61,0.98,A,f
1.83,-0.42,1.13,B,f
1.84,-1.73,-0.04,C,f
-1.21,0.16,-0.12,D,f
0.06,-0.64,-0.42,E,f
2.3,0.34,-0.42,A,g
0.79,-0.52,-1.48,B,g
6.3,-1.04,-0.05,C,g
10.56,-1.88,0.42,D,g
11.04,-1.23,0.55,E,g
-3.33,-0.33,-0.45,A,h
-4.33,0.8,0.16,B,h
-3.61,0.14,-0.35,C,h
-2.35,-0.2,-0.48,D,h
0.78,0.22,0.78,E,h
-3.13,0.64,-1.11,A,i
5.65,-0.58,0.43,B,i
4.41,-1.3,0.31,C,i
6.33,0.03,1.1,D,i
3.62,-0.43,-0.05,E,i
-1.74,-1.25,-1.07,A,j
-1.91,-0.54,-1.34,B,j
5.98,0.26,1.68,C,j
-0.65,0.3,-1.2,D,j
5.37,-0.43,0.28,E,j
